text
Especialização gratuita em Docência do IFMS abre 70 vagas https://t. co/jpYhozmVWG,Especialização gratuita em Docência do IFMS abre 70 vagas https://t. co/jpYhozmVWG
Hoje pela manhã vou me reunir na inauguração do espaço do Estudante e Feira de Agroecologia do IFB Campus Planaltina que contará com a presença da reitora do IFB e a deputada federal do PT Erika Kokay.  https://t. co/vpwRuxo9J2,Hoje pela manhã vou me reunir na inauguração do espaço do Estudante e Feira de Agroecologia do IFB Campus Planaltina que contará com a presença da reitora do IFB e a deputada federal do PT Erika Kokay.  https://t. co/vpwRuxo9J2
A diretora-geral do IFG Anápolis  Kátia Fernandes  participou  com a professora Elza Miranda e o servidor Marcos Carvalho  da Audiência Pública do Orçamento Participativo da Defensoria Pública do Estado de Goiás  nesta quinta  20  14h30  no Plenário da Câmara de Anápolis.  https://t. co/6TisrKbfVv,A diretora-geral do IFG Anápolis  Kátia Fernandes  participou  com a professora Elza Miranda e o servidor Marcos Carvalho  da Audiência Pública do Orçamento Participativo da Defensoria Pública do Estado de Goiás  nesta quinta  20  14h30  no Plenário da Câmara de Anápolis.  https://t. co/6TisrKbfVv
No próximo sábado (29)  a mestra Yvone Duarte  faixa coral 7º grau de Jiu Jitsu  é a convidada do seminário que acontece no ginásio do IFB Celândia  das 9h às 12h.   O evento é gratuito e contribuições com alimentos perecíveis são bem-vindas.   Participe! https://t. co/R7CfdK3VH8,No próximo sábado (29)  a mestra Yvone Duarte  faixa coral 7º grau de Jiu Jitsu  é a convidada do seminário que acontece no ginásio do IFB Celândia  das 9h às 12h.   O evento é gratuito e contribuições com alimentos perecíveis são bem-vindas.   Participe! https://t. co/R7CfdK3VH8
Estive participando como Representante Geral dos Estudantes do IFB e Militante do PT/DF na data de hoje dia 21 de julho de 2023 na Inauguração do Espaço do Estudante e Feira Agroecológica do IFB Campus Planaltina que contou com a presença da Reitora do IFB.  https://t. co/xyZjuu88wZ,Estive participando como Representante Geral dos Estudantes do IFB e Militante do PT/DF na data de hoje dia 21 de julho de 2023 na Inauguração do Espaço do Estudante e Feira Agroecológica do IFB Campus Planaltina que contou com a presença da Reitora do IFB.  https://t. co/xyZjuu88wZ
😉🥳 Sextou com notícia boa pra você que está concorrendo a uma vaga nos cursos superiores do IFB via SiSU. 📚As matrículas devem ser feitas de forma on-line ou presencial  a depender do campus  nos dias 21 e 24 de julho.  🔍 Confira: https://t. co/cdtfW5V5iw💚❤️ https://t. co/TPu0vPfD2d,😉🥳 Sextou com notícia boa pra você que está concorrendo a uma vaga nos cursos superiores do IFB via SiSU. 📚As matrículas devem ser feitas de forma on-line ou presencial  a depender do campus  nos dias 21 e 24 de julho.  🔍 Confira: https://t. co/cdtfW5V5iw💚❤️ https://t. co/TPu0vPfD2d
Nesta terça-feira dia 25 de julho viajo para os estado de São Paulo onde eu irei participar e representarei  os estudantes do IFB na 15° Edição da Campus Party São Paulo e também vou visitar o Instituto Federal de São Paulo CAMPOS DO JORDÃO,Nesta terça-feira dia 25 de julho viajo para os estado de São Paulo onde eu irei participar e representarei  os estudantes do IFB na 15° Edição da Campus Party São Paulo e também vou visitar o Instituto Federal de São Paulo CAMPOS DO JORDÃO
-e vc faz faculdade? -ah faço sim estudo la no ifg  -serio??? que legal!!! estuda oq la?? *resmungo* -q foi n entendi - faço agronomia   *silencio de DESPREZO seguido de discurso sobre a água gasta com o agronegócio e sobre importação e agrônomo ter ego inflado*,-e vc faz faculdade? -ah faço sim estudo la no ifg  -serio??? que legal!!! estuda oq la?? *resmungo* -q foi n entendi - faço agronomia   *silencio de DESPREZO seguido de discurso sobre a água gasta com o agronegócio e sobre importação e agrônomo ter ego inflado*
@TRANSANTlCHRIST @arielfhitz @NosTheusOlhos @pregonalata amg ta tudo bem  no ifms era essa tbm a ufms que é uma fudida e dá um literal prato pra gente,@TRANSANTlCHRIST @arielfhitz @NosTheusOlhos @pregonalata amg ta tudo bem  no ifms era essa tbm a ufms que é uma fudida e dá um literal prato pra gente
achei um site que encontra todas suas informações na Internet e descobri que passei em Gestão pública no IFB e em biologia no IFSP que babado,achei um site que encontra todas suas informações na Internet e descobri que passei em Gestão pública no IFB e em biologia no IFSP que babado
@vii_scursone @DiegoRaphael01 @shitpostverdade Acho que algum dia já foi assim mas hj em dia não é.  Eu estou no terceiro ano no IFB fazendo Ensino médio integrado com o curso técnico de eventos  e  não tive que fazer prova pra entrar  ( nem nenhum dos meus colegas) e eu tive alguns colegas que desistiram e conseguiram +,@vii_scursone @DiegoRaphael01 @shitpostverdade Acho que algum dia já foi assim mas hj em dia não é.  Eu estou no terceiro ano no IFB fazendo Ensino médio integrado com o curso técnico de eventos  e  não tive que fazer prova pra entrar  ( nem nenhum dos meus colegas) e eu tive alguns colegas que desistiram e conseguiram +
CARALHO IRMÃO  PASSEI EM GESTÃO PÚBLICA NO IFB VTNC TÔ FELIZ PRA KRALHO,CARALHO IRMÃO  PASSEI EM GESTÃO PÚBLICA NO IFB VTNC TÔ FELIZ PRA KRALHO
Vou transar pra chegar no ifb bonita e arrumar meu namorado,Vou transar pra chegar no ifb bonita e arrumar meu namorado
📢‼ ÚLTIMOS DIAS para estudantes indígenas e quilombolas dos cursos de graduação do IFG se inscreverem no Programa de Bolsa Permanência.  Inscrições até o dia 30 de julho: https://t. co/I3pEZrBqQW  ➡  Saiba mais: https://t. co/IbY2UsBaLX https://t. co/Z5gNPsVKKk,📢‼ ÚLTIMOS DIAS para estudantes indígenas e quilombolas dos cursos de graduação do IFG se inscreverem no Programa de Bolsa Permanência.  Inscrições até o dia 30 de julho: https://t. co/I3pEZrBqQW  ➡  Saiba mais: https://t. co/IbY2UsBaLX https://t. co/Z5gNPsVKKk
eu só qria conseguir o edital do IFG,eu só qria conseguir o edital do IFG
O Centro de Seleção do IFG divulgou o resultado final da Lista de Espera SiSU 2023/2.  As matrículas dos aprovados p/ o Câmpus Goiânia devem ser feitas até 26/07  enviando a documentação online.  No dia 4/08 é preciso validar a documentação presencialmente.   https://t. co/IkZ85EZE5W https://t,O Centro de Seleção do IFG divulgou o resultado final da Lista de Espera SiSU 2023/2.  As matrículas dos aprovados p/ o Câmpus Goiânia devem ser feitas até 26/07  enviando a documentação online.  No dia 4/08 é preciso validar a documentação presencialmente.   https://t. co/IkZ85EZE5W https://t
Vim pro negócio aí o menino disse que nem lembrava de mim da época do ifb pq eu tava muito diferente kkkkkkkkk graças a Deus eu era muito feio,Vim pro negócio aí o menino disse que nem lembrava de mim da época do ifb pq eu tava muito diferente kkkkkkkkk graças a Deus eu era muito feio
[Gestão Acadêmica]  📌Atenção  comunidade acadêmica‼ 🔸🔹O IFG iniciou o processo de implantação do novo sistema de gestão acadêmica  o módulo SUAP-Ensino.  💻Esse sistema substituirá o Q-Acadêmico  que atualmente é responsável pelo controle e registro acadêmico do IFG.  https://t. co/zHZXjxp5yC,[Gestão Acadêmica]  📌Atenção  comunidade acadêmica‼ 🔸🔹O IFG iniciou o processo de implantação do novo sistema de gestão acadêmica  o módulo SUAP-Ensino.  💻Esse sistema substituirá o Q-Acadêmico  que atualmente é responsável pelo controle e registro acadêmico do IFG.  https://t. co/zHZXjxp5yC
